review,score,aplikasi
benahi dulu setatus pesanan dan kurir nya masak dalam proses pengantaran gak ada konfirmasi apapun tiba2 di cancell,1,Shopee
belanja apapun jadi gampang,5,Shopee
mantap,5,Shopee
bagus,4,Shopee
"pengiriman nya cepat ya,kurir nya amanah udah langganan bgt,mksih",5,Shopee
balikin fitur blokir toko!!,1,Shopee
"belanja jd lebih mudah dan murah karena gratis ongkir, dan suka dapat voucher.",5,Shopee
"gimana sih sekarang belanja di Shopee tidak nyaman, return sangat sulit dan merugikan kita,,,,penjual yg mengirim barang tdk sesuai malah kita yg menanggung onkir return... dan lama sekali proses nya,,, pengiriman bergerak lama di satu titik... tidak seperti dulu lagi kenyamanan belanja di Shopee ini,,, kalau saudara2 masih ngotot belanja di Shopee ini pilih yg check dulu baru bayar... soalnya nanti ketemu penjual yang tidak amanah,sangat sulit proses return nya",1,Shopee
"kelebihan nih toko -murce -gampang geratis ongkir kekurangan - biaya layanan naik terus dulu mulai 1000, naik 1200 naik 1800 naik 2100 - tidak ada nomer kurir yg tertera padahal enak jika ada kendala dikurir bisa langsung chat kurir nya (seperti apk shop ijo) -iklan shopee ada dimana buka apk apa aja pasti si oren nih muncul mana lama lagi/ tanda silang terlalu kecil kadi iklan di pencet X bukannya ilang malah ke spk shopee",3,Shopee
selalu yg terbaik kalau soalnya harga dan promo,5,Shopee
"login aja susah, harus previkasi 2 langkah. mana pakek mukak lagi loginnya, notif di hp gak terkirim. aku gak ada tuh kerajinan pasang mukak aku buat login. nyusahin aja. gimana dong ini akun ku. kalau orang gak mau buat previkasi 2 langkah bukan tanpa alasan, ya gini. tapi apk Lo maksain. nyusahin jadinya. gw maunya ID PW Uda cukup.",1,Shopee
tepat waktu dan barang nya dan pelayanan ok,5,Shopee
ya sudahlah ok,5,Shopee
iklannya bikin kesel,1,Shopee
aplikasinya lumayan bagus cuma pengirimannya gak sesuai bahkan pesanan saya udah lebih 10 hari blm sampai juga. mohon di telitih lagi pengirimannya?,2,Shopee
"udah baik, tapi yolong segera blokir toko yang melakukan penipuan.",5,Shopee
bisa beli online,5,Shopee
"pliss apl bginiann ngebantu bgtt😃😃 klo lgi mlas keluar blnja tinggal pesan aja di shopee, aplgi pas mau deket deket lebaran, psti sibuk bgtt buat bju lebaran, gue klo mau lebaran mah tinggal pesan aja di shopee😁",5,Shopee
bagusss,5,Shopee
puaasss buanget blanja di shoopee..,5,Shopee
aneh verifikasi wajah gak bisa2.login yang ribet,1,Shopee
shopee memang mantab,5,Shopee
pengiriman tambah lambat,1,Shopee
trimakasih shopee,5,Shopee
mantap,5,Shopee
"aplikasi hama, iklannya gajelas banget pas digame harus pencet ini itu, ribet mana nanti bikin close force dan harus nonton iklan hama lagi. njs bgt iklannya mana muka cwe yg ngiklanin lipstik omg ngeselin bgt",1,Shopee
untuk pengiriman sekarang selalu terlalu terlambat melewati batas estimasi pengiriman banyak alasan yang dilontarkan,2,Shopee
kurir paket sama sekali tidak kooperatif 2 kali kejadian paket dijadwalkan ulang tanpa konfirmasi,1,Shopee
lambat memproses pesanan,1,Shopee
sangat luar biasa,5,Shopee
sesuai pesanan,5,Shopee
Padahal saya GK prnh nunggak kok SPayLater & SPinjam tidak dapat disetujui ANEEEEEH🥴,3,Shopee
"kata gua stop bikin iklan yang langsung masuk di apk shope deh, gua nonton YouTube aja tbtb ke halaman shopee. awalnya biasa aja tapi sekarang M.U.A.K. jgn bikin rating jelek gara gara iklan dimana2",1,Shopee
banyak promo nya,5,Shopee
mantap,5,Shopee
SHOOPE ANJ GAUSAH SPAM IKLAN LAH IKLAN SHOPEE DIMANA MANA AKU MAU PENCET TANDA SILANG MALAH KEPENCET SHOPEE IKLAN NYA DIHILANGIN ANJ IYA TAU APLIKASI ELU BAGUS ADA IKLAN GAPAPA SI TAPI JANGAN IKLAN TERUS LAH MARKETING ELU BERISIKK BANGET ANJJ IKLAN NYA JANGAN BANYAK2 ANJ SHOPEE😡😡😡😡😡😡😡😡😡😡😡,1,Shopee
mantap shopee semakinin maju,5,Shopee
mantap,5,Shopee
"tau"" ada paket nyampe, padahal ga pesen apa"", gila si parah, mana mayan harganya 150an, pas di buka sendal, gw kira yg nyampe sepre gw, ternyata orderan fiktf, pokoknya lebih teliti lagi dah kalo belanja online, knpa gw yakin itu dari shopee, karna alamatnya persis sama yg gwinput di shopee, ketikan, gede kecil huruf penempatan kata"", sama semua, karna tiap aplikasi, gw masukin alamat dgn penulisan yg berbeda.",1,Shopee
tks barang sesuai pesana,5,Shopee
"kenapa pesanan saya ditahan di pusat sortir sudah 2 Minggu tidak dikirim-kirim palahan estimasi tiba aturan 2 Minggu lalu paling lama kalau begini terus, bagusan apk sebelah buat pesanan",1,Shopee
membantu belanja,5,Shopee
Ngebug padahal sinyal bagus pake wifi Mau login kok disuruh periksa koneksi internet,3,Shopee
"pake aplikasi bertahun2 , belanja sudah banyak transaksi dari yg kecil sampai belasan juta pun di aplikasi ini.. tpi aneh ke untungan fitur cicilan/paylater dkasi limit kecil bahkan ga prnah bisa di pakai , kayanya ga akan bsa ada perubahan aplikasi ini , harus cari aplikasi belanja lain..",2,Shopee
sangat cocok,5,Shopee
"ga jelas bgt skrg shopee, pengiriman terus melambat, asalnya 3hr sampe jauh jga, skrg deket udh mau seminggu ga di anter2 kacau",3,Shopee
ga bisa mesen lagi harus make verifikasi udah di coba berkali kali ga bBISA,1,Shopee
tanbah baik lagi,5,Shopee
sangat membantu,2,Shopee
"kenapa bintang 1 katena kamu shopee kebanyakan iklan terutama di apk wp serius ya lagi enak"" baca nggk pencet iklan tp langsung pindah ke shopee klo tiap pindah iklan nggk masalah kan baca gratis tpi klo waktu baca langsung pindah ...anjirrr serius kamu nyebelin ...nggk usah bayak iklan bisakannnnn lagian klo butuh ya belinya di shopee jadi TIDAK USAH BANYAK IKLAN sebel tau lama""",1,Shopee
pengiriman lambat dari tgl 9 desember sampai saat ini 18 desember belum ada perubahan,2,Shopee
Buruk Aplikasi ngaco aplikasi gilaa hati2 kalian para seller. ongkir Jatim - JKT cuma 8 RB. kalian kalau gak pake asuransi misal barang hilang ( harga mahal cuma diganti 10×ongkir. sedangkan ongkirnya udah gak masuk akal. ke Kalimantan cuma 10rb. ini beneran aplikasi gila gak ngotak. isinya mafia semua. barang ditahan tidak dikirim. diambil katanya gak ada. baru hampir 1 bulan dinyatakan hilang. kompensasi 10×ongkir yg gak masuk akal.,1,Shopee
Murah,3,Shopee
Bisa membantu perexkonomian rakyat kecil juga sangat murah dan berkuwalitas barang2ny oke punya...,5,Shopee
"sistem COD sering banget bermasalah, kadang ada kadang tidak, ini sebetulnya pembeli yg bermasalah atau pihak lain yg menyalahgunakan aturan COD, fitur COD gak ada siapa yg mau order, COD aja kdang barangnya gk jelas apalgi non cod.",3,Shopee
"PENGEMBALIAN DANA TIDAK MASUK/TIDAK KEMBALI, DISURUH CEK BERUALANG ULANG TIDAK ADA HASIL AL HASIL 200 LEBIH UANG SAYA HILANG SAJA",1,Shopee
aplikasi olshop dengan fitur dan pelayanan terbaik..puas belanja disini,5,Shopee
senag blanja di shopi,5,Shopee
Suka dengan free ongkir dan kurir spx nya yg kilat boleh dibuatkan pengaturan utk ukuran font kah ? atau diperbesar fontnya,5,Shopee
keren,5,Shopee
memuaskan belanja di sini..,5,Shopee
"plis lh shopeeee iklannya dikuranginnnnn. LAGI ENAK BACA WP TIBA"" LANGSUNG MASUK KE SHOPEEE PADAHAL NGGA DI SENTUHHHHHH. PLISS DEH JNGN BIKIN JENGKEL. DOSA TAU BIKIN ORNG EMOSI TERUSSS",1,Shopee
"Bagusss bangett aplikasinya,tpi ko gampang leletnya ya. 17/10/20. hllo aku dateng lgi 2025 apk terbagus dan ternyaman atas pelayanannya, jdi mau sedikit cerita tentang pemesanan yang aku lakuin di shoppy, jdi akukan punya kendala tentang pembayaran yang udah masuk tetapi barang belum saja di kemas sampai 1×24 jam, dan aku hubungin CSnya buat bantuin kembaliin dana aku, dan ternyata di usahain banget sampe dananya kembali lagi, aku mau ucapin terimakasih sma CS shoppy yang ramah❤️",5,Shopee
sangat membantu dan aplikasinya berjalan fldengan baik,5,Shopee
mantul,5,Shopee
"STOP IKLAN DI APLIKASI MANAPUN YA. ADA TANDA SILANG PUN PERCUMA MALAH TIBA-TIBA MASUK SHOPEE. STOP IKLAN, semua org tau kok aplikasi Shopee.",2,Shopee
harganya murah²,5,Shopee
"pengiriman yg dilakukan tidak tepat waktu,",2,Shopee
Menyenangkan sekali belanja di Shoppee.. semua jadi lebih mudah dan praktis.. Apalagi skrg sudah menjadi member Platinum... 😁👍,5,Shopee
"aku suka bgt, apk ini bisa belanja barang bisa top up dpt diskon besar besaran lagi. aduuh habis uang ku",5,Shopee
pengiriman lamaaa,1,Shopee
"ini APK perasaan update,bukan nya makin bagus ,malah sekarang belanja dibatasin,jika diteruskan di blokir payah. saya pengguna lama APK ini, tapi sekarang udah gak asik",1,Shopee
great 👏,5,Shopee
oke,5,Shopee
mantap,5,Shopee
seller klo jualan stock kosong kasih tanda warna merah otomatis dari shopee,5,Shopee
alhamdulillah semoga aman selamat lancar barokah,5,Shopee
sangat menbantu,4,Shopee
rwarrr,2,Shopee
shopee memang hebat,5,Shopee
"iklan nya udah hampir semua aplikasi, bikin risih tolong ditindaklanjuti",2,Shopee
"kenapa diskon 50% dihilangin sih, pokoknya balikin, padahal itu rutinan",1,Shopee
"sangat baik,dan sangat membantu ibu rumah tangga seperti saya",5,Shopee
mantaap..harganya murah2 dan banyak ongkirnya,5,Shopee
so good,5,Shopee
shopee sangat membantu...,5,Shopee
tolollllll,1,Shopee
"Iklan LO banyak banget di mana-mana! Terutama di TV! Yang lain aja hampir ga ada! Lazada, Tokopedia, ga ada, LO doang yang ada & paling banyak! BENCI BANGET LIHATNYA! Ga usah lebay dooong! Kalau emang bagus, orang bakalan instal/download dengan sendirinya! STOP SPAM IKLAN! Apalagi yang otomatis masuk aplikasi! MENYEBALKAN! Perbaiki Kualitas, Pelayanan, Pengiriman, Tingkatkan aplikasi, yang terasa teramat berat & lemot! Lebih baik pilih Lazada atau Tokopedia dalam berbelanja daripada Shopee! MUAK",1,Shopee
SPX mengecewakan.,1,Shopee
aplikasinya berat,1,Shopee
lam kli pengiriman brg nya udh dri tgl 9 loh gk jelas ini shoppe,1,Shopee
SEKARANG GRATIS ONGKIR HANYA UNTUK KARGO.... SEMOGA NANTI JADI SEPI SEPERTI MARKETPLACE SEBELAH,1,Shopee
"keren sih,,",5,Shopee
"TIDAK BISA ATUR PENGIRIMAAN ALASAN PESANAN SEDANG DI VERIVIKASI OLEH SHOPE.. DAGELAAN MACAM APA INI... PEEMBELI AKAN KABUR... SISTEM BODOH APA LAGI INI... MANA PENCAIRAN KADANG TERTUNDA, PADAHAL PEMBELI SUDAH KLIK PESANNAN DI TERIMA... SISTEM SHOPE SAANGAT TIDAK BAGUS SEKALI",1,Shopee
pernah di tipu oleh banyak pedagang yang ada di sini,4,Shopee
mantab bener ini aplksi. vanyak promo pulsa murah harga bisa d adu dr aplikasi yg lain. top ⭐⭐⭐⭐⭐,5,Shopee
bermanfaat dan terpecaya,5,Shopee
kok setiap saya order khusus dpt promo diskon paketan saya GK dikirim selalu dibatalkan tidak ada alasan yang jelas,3,Shopee
iklan lu ada di mana mana masuk browser ada lu mending kalo 1 sampe 3x ini berkali kali bikin gue leg,1,Shopee
ok lah...cukup membantu di saat perlu,5,Shopee
kemaren2 bisa COD sekarng kenapa gk bisa lagi.,2,Shopee
bagus,5,Shopee
"shopee yg paling best menurut sy,selalu bnyk promo dn discount nya,smoga kedepan semakin banyak lg promo2 menariknya bwt costumer",5,Shopee
mengapa harga barang tidak sesuai dengan harga setelah checkout..,3,Shopee
baru coba semoga cocok dan bagus,4,Shopee
"Pakai aplikasi shopee segalanya jadi mudah,,bayar apapun sudah tersedia..mantaapp",5,Shopee
"order dishopee gak pernah kecewa, barangnya selalu sesuai, pokoknya shopee semakin jaya..",5,Shopee
9thn 4bulan AQ sudah setia bersama shopee dan umur shopee sudah 10thn shopee selalu mengutamakan pembeli semoga shopee selalu jdi yg terbaik 😊🥰,5,Shopee
"tolong fitur pembatalan nya di kembangkan, masa banyak olshop yg ngasi harga murah pas tanggal cantik tpi beberapa hari kemudian di batalkan tidak di kirim, itu sama saja PENIPUAN, tolong hrus ad persetujuan dri konsumennya klo mau batalin produk, kita udh war malam2 eh malah ga di kirim dgn alasan tidak masuk akal, PENIPU",1,Shopee
Sangat bagus apknya membantu belanjan online lebih mudah,5,Shopee
"serba naik gk tau malu, banyaknbiaya biaya lainya kacau",1,Shopee
mantap segala kebutuhan ada semua tinggal pesan,5,Shopee
kalau bisa tambahkan fitur buat menghubungi kurir karna sering kurir tidak menghubungi kalau mau antar,4,Shopee
mantap,5,Shopee
banyak iklannya,2,Shopee
"Mantappp ,,,",5,Shopee
"barang cepat sampai,kurir baik",5,Shopee
"iklan nya apasihhh, orang lgi ga mencet apa² tiba² kebuka shopee. ptomosi sih promosi tapi ga gini juga lah annoying lama²",1,Shopee
Alhamdulillah puas bgt,5,Shopee
mantap lah,5,Shopee
gue kasih 5 buat shopeee sumpah apk ter royal muuuwwwahhhh muuuwwwahhhh muuuwwwahhhh 💋💋💋,5,Shopee
"paket COD yg diambil udah ratusan banyaknya, tapi ketika aku gak ambil 1 paket yg cuman 40ribu langsung gak bisa COD lagi, aplikasi apa ini",1,Shopee
good job👍,5,Shopee
selalu sukak dengan si oyen ini semog selalu amanah jaya selalu juga dan makin berkembang,5,Shopee
dapat diskon banyak,4,Shopee
shopee makin kesini makin parah dari segi pengiriman... ga kaya aplikasi sebelah selalu gercep...,1,Shopee
tolong ini kenapa gak bisa di buka aplikasinya 😭 di uninstall juga GK bisa padahal aku suka bgt belaja pakai shopee,2,Shopee
baik banget,5,Shopee
Hai semua saran dari aku apabila ada masalah dengan applikasi shopee. Tidak perlu hub cs shopee. karena ini cs yang paling terburuk dari semua platform. memberikan solusi bemtuknya template. kalian akan berulang ulang mengikuti. solusi yang diberikan dari cs shopee akan mentok juga.dan mereka bisa menutup kasus seenaknya padahal kasus belum selesai. ini applikasi bisa bikin kebijakan tapi team terkaitnya tidak paham dengan kebijakannya. apa fungsinya minta ulasan tapi layanannya cs tetap buruk,1,Shopee
voucher nya banyak. biaya admin nya juga semakin semakin,5,Shopee
mantap,5,Shopee
"tolong aplikasi Shopee gratis ongkir jangan terlalu pelit, khususnya untuk masyarakat di luar pulau jawa, Sumatra",5,Shopee
gudd,5,Shopee
trimakasih KK...,5,Shopee
shopee terbaik,5,Shopee
teman teman ku semua mari belanja di shopee apa yang butuhkan semua ada murah dan banyak diskon. amanah,5,Shopee
ok,5,Shopee
bermanfaat pisan,5,Shopee
mantap,5,Shopee
potongan terlalu besar bagi penjual mending beralih ke app sebelah,1,Shopee
pokoknya tambah Mantap Dan Tambah Jaya,5,Shopee
bagus sangat bermanfaat dan berkualitas,5,Shopee
"untuk saya pribadi sangat membantu sekali aplikasi shoppe,tapi yg buat saya kecewa soal spaylater saya sampe sekarang udah satu tahun masih di tolak,dan yg bikin saya tambah kecewa spimjam saya juga udah 3 bulan terakhir ini selalu di tolak,padahal saya engak pernah telat dan byr sesuai regulasi sebelum jatuh tempo di spimjam,terus salah saya apa, oke bulan depan Lao spimjam saya di ACC lagi, dan spaylater saya di ACC juga,ulasan ini akan saya perbarui,terimakasieh.",1,Shopee
"yg lain nya udah bagus, cuma jasa pengiman nya aja yg muter2 gk jelas",4,Shopee
"Lo ngapain sih tiba-tiba masuk mulu di WP? Kalo iklan sewajar aja lah, udah laris juga kan.",1,Shopee
"mau beli barang via live aj gk bisa, pesenan sudah co eh dana di kembalikan alasan melakukan tindakan tidak wajar,pdhl sudah pake VIP lah buat apa pake VIP acara live tapi gk bisa buat co,tapi beli barang bukan live gk ada diskon bisa",1,Shopee
"jujur Shopee lu bisa ngga sih ngga usah ganggu fyp tiktok gw sumpah benci bet kalau lu fyp slide foto gitu ke geser dikit langsung pindah pk, di wattpad juga lu ganggu bangett jujurr",1,Shopee
Tolong pada saat pengantaran pesanan sertakan nomor wa kurir nya cuma satu ini lagi kendala nya yg bikin susah,1,Shopee
memiliki banyak aturan yang meresahkan dan tidak bermanfaat,2,Shopee
Aplikasi keren sy suka banget belanja di shopee👍,5,Shopee
shope nya bagus sekali,5,Shopee
bagus apk belanja terbagus,5,Shopee
